Jurisdiction,Value,Race/ ethnicity,Year,Measure
Caroline,,American Indian/Alaska Native Non-Hispanic/Latino,2020,Annual Flu Vaccinations
Carroll,,American Indian/Alaska Native Non-Hispanic/Latino,2020,Annual Flu Vaccinations
Cecil,,American Indian/Alaska Native Non-Hispanic/Latino,2020,Annual Flu Vaccinations
Charles,,American Indian/Alaska Native Non-Hispanic/Latino,2020,Annual Flu Vaccinations
Dorchester,,American Indian/Alaska Native Non-Hispanic/Latino,2020,Annual Flu Vaccinations
Frederick,,American Indian/Alaska Native Non-Hispanic/Latino,2020,Annual Flu Vaccinations
Garrett,,American Indian/Alaska Native Non-Hispanic/Latino,2020,Annual Flu Vaccinations
Harford,,American Indian/Alaska Native Non-Hispanic/Latino,2020,Annual Flu Vaccinations
Howard,,American Indian/Alaska Native Non-Hispanic/Latino,2020,Annual Flu Vaccinations
Kent,,American Indian/Alaska Native Non-Hispanic/Latino,2020,Annual Flu Vaccinations
Montgomery,,American Indian/Alaska Native Non-Hispanic/Latino,2020,Annual Flu Vaccinations
Prince George's,,American Indian/Alaska Native Non-Hispanic/Latino,2020,Annual Flu Vaccinations
Queen Anne's,,American Indian/Alaska Native Non-Hispanic/Latino,2020,Annual Flu Vaccinations
Saint Mary's,,American Indian/Alaska Native Non-Hispanic/Latino,2020,Annual Flu Vaccinations
Somerset,,American Indian/Alaska Native Non-Hispanic/Latino,2020,Annual Flu Vaccinations
Talbot,,American Indian/Alaska Native Non-Hispanic/Latino,2020,Annual Flu Vaccinations
Washington,,American Indian/Alaska Native Non-Hispanic/Latino,2020,Annual Flu Vaccinations
Wicomico,,American Indian/Alaska Native Non-Hispanic/Latino,2020,Annual Flu Vaccinations
Worcester,,American Indian/Alaska Native Non-Hispanic/Latino,2020,Annual Flu Vaccinations
Baltimore City,,American Indian/Alaska Native Non-Hispanic/Latino,2020,Annual Flu Vaccinations
State,58.0,Asian/Pacific Islander Non-Hispanic/Latino,2020,Annual Flu Vaccinations
Allegany,,Asian/Pacific Islander Non-Hispanic/Latino,2020,Annual Flu Vaccinations
Anne Arundel,,Asian/Pacific Islander Non-Hispanic/Latino,2020,Annual Flu Vaccinations
Baltimore County,,Asian/Pacific Islander Non-Hispanic/Latino,2020,Annual Flu Vaccinations
Calvert,,Asian/Pacific Islander Non-Hispanic/Latino,2020,Annual Flu Vaccinations
Caroline,,Asian/Pacific Islander Non-Hispanic/Latino,2020,Annual Flu Vaccinations
Carroll,,Asian/Pacific Islander Non-Hispanic/Latino,2020,Annual Flu Vaccinations
Cecil,,Asian/Pacific Islander Non-Hispanic/Latino,2020,Annual Flu Vaccinations
Charles,,Asian/Pacific Islander Non-Hispanic/Latino,2020,Annual Flu Vaccinations
Dorchester,,Asian/Pacific Islander Non-Hispanic/Latino,2020,Annual Flu Vaccinations
Frederick,,Asian/Pacific Islander Non-Hispanic/Latino,2020,Annual Flu Vaccinations
Garrett,,Asian/Pacific Islander Non-Hispanic/Latino,2020,Annual Flu Vaccinations
Harford,,Asian/Pacific Islander Non-Hispanic/Latino,2020,Annual Flu Vaccinations
Howard,72.7,Asian/Pacific Islander Non-Hispanic/Latino,2020,Annual Flu Vaccinations
Kent,,Asian/Pacific Islander Non-Hispanic/Latino,2020,Annual Flu Vaccinations
Montgomery,56.4,Asian/Pacific Islander Non-Hispanic/Latino,2020,Annual Flu Vaccinations
Prince George's,,Asian/Pacific Islander Non-Hispanic/Latino,2020,Annual Flu Vaccinations
Queen Anne's,,Asian/Pacific Islander Non-Hispanic/Latino,2020,Annual Flu Vaccinations
Saint Mary's,,Asian/Pacific Islander Non-Hispanic/Latino,2020,Annual Flu Vaccinations
Somerset,,Asian/Pacific Islander Non-Hispanic/Latino,2020,Annual Flu Vaccinations
Talbot,,Asian/Pacific Islander Non-Hispanic/Latino,2020,Annual Flu Vaccinations
Washington,,Asian/Pacific Islander Non-Hispanic/Latino,2020,Annual Flu Vaccinations
Wicomico,,Asian/Pacific Islander Non-Hispanic/Latino,2020,Annual Flu Vaccinations
Worcester,,Asian/Pacific Islander Non-Hispanic/Latino,2020,Annual Flu Vaccinations
Baltimore City,,Asian/Pacific Islander Non-Hispanic/Latino,2020,Annual Flu Vaccinations
State,41.3,Black or African American Non-Hispanic/Latino,2020,Annual Flu Vaccinations
Allegany,,Black or African American Non-Hispanic/Latino,2020,Annual Flu Vaccinations
Anne Arundel,29.8,Black or African American Non-Hispanic/Latino,2020,Annual Flu Vaccinations
Baltimore County,39.9,Black or African American Non-Hispanic/Latino,2020,Annual Flu Vaccinations
Calvert,,Black or African American Non-Hispanic/Latino,2020,Annual Flu Vaccinations
Caroline,,Black or African American Non-Hispanic/Latino,2020,Annual Flu Vaccinations
Carroll,,Black or African American Non-Hispanic/Latino,2020,Annual Flu Vaccinations
Cecil,,Black or African American Non-Hispanic/Latino,2020,Annual Flu Vaccinations
Charles,28.7,Black or African American Non-Hispanic/Latino,2020,Annual Flu Vaccinations
Dorchester,35.6,Black or African American Non-Hispanic/Latino,2020,Annual Flu Vaccinations
Frederick,,Black or African American Non-Hispanic/Latino,2020,Annual Flu Vaccinations
Garrett,,Black or African American Non-Hispanic/Latino,2020,Annual Flu Vaccinations
Harford,,Black or African American Non-Hispanic/Latino,2020,Annual Flu Vaccinations
Howard,32.9,Black or African American Non-Hispanic/Latino,2020,Annual Flu Vaccinations
Kent,,Black or African American Non-Hispanic/Latino,2020,Annual Flu Vaccinations
Montgomery,50.5,Black or African American Non-Hispanic/Latino,2020,Annual Flu Vaccinations
Prince George's,37.8,Black or African American Non-Hispanic/Latino,2020,Annual Flu Vaccinations
Queen Anne's,,Black or African American Non-Hispanic/Latino,2020,Annual Flu Vaccinations
Saint Mary's,,Black or African American Non-Hispanic/Latino,2020,Annual Flu Vaccinations
Somerset,,Black or African American Non-Hispanic/Latino,2020,Annual Flu Vaccinations
Talbot,,Black or African American Non-Hispanic/Latino,2020,Annual Flu Vaccinations
Washington,,Black or African American Non-Hispanic/Latino,2020,Annual Flu Vaccinations
Wicomico,39.0,Black or African American Non-Hispanic/Latino,2020,Annual Flu Vaccinations
Worcester,,Black or African American Non-Hispanic/Latino,2020,Annual Flu Vaccinations
Baltimore City,47.7,Black or African American Non-Hispanic/Latino,2020,Annual Flu Vaccinations
State,33.2,Hispanic,2020,Annual Flu Vaccinations
Allegany,,Hispanic,2020,Annual Flu Vaccinations
Anne Arundel,32.7,Hispanic,2020,Annual Flu Vaccinations
Baltimore County,49.3,Hispanic,2020,Annual Flu Vaccinations
Calvert,,Hispanic,2020,Annual Flu Vaccinations
Caroline,,Hispanic,2020,Annual Flu Vaccinations
Carroll,,Hispanic,2020,Annual Flu Vaccinations
Cecil,,Hispanic,2020,Annual Flu Vaccinations
Charles,,Hispanic,2020,Annual Flu Vaccinations
Dorchester,,Hispanic,2020,Annual Flu Vaccinations
Frederick,,Hispanic,2020,Annual Flu Vaccinations
Garrett,,Hispanic,2020,Annual Flu Vaccinations
Harford,,Hispanic,2020,Annual Flu Vaccinations
Howard,,Hispanic,2020,Annual Flu Vaccinations
Kent,,Hispanic,2020,Annual Flu Vaccinations
Montgomery,39.1,Hispanic,2020,Annual Flu Vaccinations
Prince George's,27.7,Hispanic,2020,Annual Flu Vaccinations
Queen Anne's,,Hispanic,2020,Annual Flu Vaccinations
Saint Mary's,,Hispanic,2020,Annual Flu Vaccinations
Somerset,,Hispanic,2020,Annual Flu Vaccinations
Talbot,,Hispanic,2020,Annual Flu Vaccinations
Washington,,Hispanic,2020,Annual Flu Vaccinations
Wicomico,,Hispanic,2020,Annual Flu Vaccinations
Worcester,,Hispanic,2020,Annual Flu Vaccinations
Baltimore City,,Hispanic,2020,Annual Flu Vaccinations
State,,Native Hawaiian/Other Pacific Islander Hispanic/Latino,2020,Annual Flu Vaccinations
Allegany,,Native Hawaiian/Other Pacific Islander Hispanic/Latino,2020,Annual Flu Vaccinations
Anne Arundel,,Native Hawaiian/Other Pacific Islander Hispanic/Latino,2020,Annual Flu Vaccinations
Baltimore County,,Native Hawaiian/Other Pacific Islander Hispanic/Latino,2020,Annual Flu Vaccinations
Calvert,,Native Hawaiian/Other Pacific Islander Hispanic/Latino,2020,Annual Flu Vaccinations
Caroline,,Native Hawaiian/Other Pacific Islander Hispanic/Latino,2020,Annual Flu Vaccinations
Carroll,,Native Hawaiian/Other Pacific Islander Hispanic/Latino,2020,Annual Flu Vaccinations
Cecil,,Native Hawaiian/Other Pacific Islander Hispanic/Latino,2020,Annual Flu Vaccinations
Charles,,Native Hawaiian/Other Pacific Islander Hispanic/Latino,2020,Annual Flu Vaccinations
Dorchester,,Native Hawaiian/Other Pacific Islander Hispanic/Latino,2020,Annual Flu Vaccinations
Frederick,,Native Hawaiian/Other Pacific Islander Hispanic/Latino,2020,Annual Flu Vaccinations
Garrett,,Native Hawaiian/Other Pacific Islander Hispanic/Latino,2020,Annual Flu Vaccinations
Harford,,Native Hawaiian/Other Pacific Islander Hispanic/Latino,2020,Annual Flu Vaccinations
Howard,,Native Hawaiian/Other Pacific Islander Hispanic/Latino,2020,Annual Flu Vaccinations
Kent,,Native Hawaiian/Other Pacific Islander Hispanic/Latino,2020,Annual Flu Vaccinations
Montgomery,,Native Hawaiian/Other Pacific Islander Hispanic/Latino,2020,Annual Flu Vaccinations
Prince George's,,Native Hawaiian/Other Pacific Islander Hispanic/Latino,2020,Annual Flu Vaccinations
Queen Anne's,,Native Hawaiian/Other Pacific Islander Hispanic/Latino,2020,Annual Flu Vaccinations
Saint Mary's,,Native Hawaiian/Other Pacific Islander Hispanic/Latino,2020,Annual Flu Vaccinations
Somerset,,Native Hawaiian/Other Pacific Islander Hispanic/Latino,2020,Annual Flu Vaccinations
Talbot,,Native Hawaiian/Other Pacific Islander Hispanic/Latino,2020,Annual Flu Vaccinations
Washington,,Native Hawaiian/Other Pacific Islander Hispanic/Latino,2020,Annual Flu Vaccinations
Wicomico,,Native Hawaiian/Other Pacific Islander Hispanic/Latino,2020,Annual Flu Vaccinations
Worcester,,Native Hawaiian/Other Pacific Islander Hispanic/Latino,2020,Annual Flu Vaccinations
Baltimore City,,Native Hawaiian/Other Pacific Islander Hispanic/Latino,2020,Annual Flu Vaccinations
State,57.9,White Non-Hispanic/Latino,2020,Annual Flu Vaccinations
Allegany,48.4,White Non-Hispanic/Latino,2020,Annual Flu Vaccinations
Anne Arundel,57.5,White Non-Hispanic/Latino,2020,Annual Flu Vaccinations
Baltimore County,59.9,White Non-Hispanic/Latino,2020,Annual Flu Vaccinations
Calvert,49.5,White Non-Hispanic/Latino,2020,Annual Flu Vaccinations
Caroline,46.8,White Non-Hispanic/Latino,2020,Annual Flu Vaccinations
Carroll,54.4,White Non-Hispanic/Latino,2020,Annual Flu Vaccinations
Cecil,50.0,White Non-Hispanic/Latino,2020,Annual Flu Vaccinations
Charles,55.1,White Non-Hispanic/Latino,2020,Annual Flu Vaccinations
Dorchester,52.5,White Non-Hispanic/Latino,2020,Annual Flu Vaccinations
Frederick,53.9,White Non-Hispanic/Latino,2020,Annual Flu Vaccinations
Garrett,44.8,White Non-Hispanic/Latino,2020,Annual Flu Vaccinations
Harford,59.5,White Non-Hispanic/Latino,2020,Annual Flu Vaccinations
Howard,66.1,White Non-Hispanic/Latino,2020,Annual Flu Vaccinations
Kent,50.3,White Non-Hispanic/Latino,2020,Annual Flu Vaccinations
Montgomery,69.3,White Non-Hispanic/Latino,2020,Annual Flu Vaccinations
Prince George's,55.8,White Non-Hispanic/Latino,2020,Annual Flu Vaccinations
Queen Anne's,60.0,White Non-Hispanic/Latino,2020,Annual Flu Vaccinations
Saint Mary's,44.4,White Non-Hispanic/Latino,2020,Annual Flu Vaccinations
Somerset,67.4,White Non-Hispanic/Latino,2020,Annual Flu Vaccinations
Talbot,60.6,White Non-Hispanic/Latino,2020,Annual Flu Vaccinations
Washington,45.8,White Non-Hispanic/Latino,2020,Annual Flu Vaccinations
Wicomico,47.5,White Non-Hispanic/Latino,2020,Annual Flu Vaccinations
Worcester,41.2,White Non-Hispanic/Latino,2020,Annual Flu Vaccinations
Baltimore City,62.0,White Non-Hispanic/Latino,2020,Annual Flu Vaccinations
State,49.8,All races/ ethnicities (aggregated),2021,Annual Flu Vaccinations
Allegany,40.6,All races/ ethnicities (aggregated),2021,Annual Flu Vaccinations
Anne Arundel,51.3,All races/ ethnicities (aggregated),2021,Annual Flu Vaccinations
Baltimore County,53.3,All races/ ethnicities (aggregated),2021,Annual Flu Vaccinations
Calvert,53.4,All races/ ethnicities (aggregated),2021,Annual Flu Vaccinations
Caroline,34.4,All races/ ethnicities (aggregated),2021,Annual Flu Vaccinations
Carroll,46.1,All races/ ethnicities (aggregated),2021,Annual Flu Vaccinations
Cecil,38.7,All races/ ethnicities (aggregated),2021,Annual Flu Vaccinations
Charles,43.8,All races/ ethnicities (aggregated),2021,Annual Flu Vaccinations
Dorchester,46.4,All races/ ethnicities (aggregated),2021,Annual Flu Vaccinations
Frederick,54.1,All races/ ethnicities (aggregated),2021,Annual Flu Vaccinations
Garrett,32.1,All races/ ethnicities (aggregated),2021,Annual Flu Vaccinations
Harford,56.2,All races/ ethnicities (aggregated),2021,Annual Flu Vaccinations
Howard,63.4,All races/ ethnicities (aggregated),2021,Annual Flu Vaccinations
Kent,55.9,All races/ ethnicities (aggregated),2021,Annual Flu Vaccinations
Montgomery,55.1,All races/ ethnicities (aggregated),2021,Annual Flu Vaccinations
Prince George's,40.3,All races/ ethnicities (aggregated),2021,Annual Flu Vaccinations
Queen Anne's,50.8,All races/ ethnicities (aggregated),2021,Annual Flu Vaccinations
Saint Mary's,41.5,All races/ ethnicities (aggregated),2021,Annual Flu Vaccinations
Somerset,51.5,All races/ ethnicities (aggregated),2021,Annual Flu Vaccinations
Talbot,59.3,All races/ ethnicities (aggregated),2021,Annual Flu Vaccinations
Washington,42.8,All races/ ethnicities (aggregated),2021,Annual Flu Vaccinations
Wicomico,44.3,All races/ ethnicities (aggregated),2021,Annual Flu Vaccinations
Worcester,47.0,All races/ ethnicities (aggregated),2021,Annual Flu Vaccinations
Baltimore City,47.1,All races/ ethnicities (aggregated),2021,Annual Flu Vaccinations
State,50.6,American Indian/Alaska Native Non-Hispanic/Latino,2021,Annual Flu Vaccinations
Allegany,,American Indian/Alaska Native Non-Hispanic/Latino,2021,Annual Flu Vaccinations
Anne Arundel,,American Indian/Alaska Native Non-Hispanic/Latino,2021,Annual Flu Vaccinations
Baltimore County,,American Indian/Alaska Native Non-Hispanic/Latino,2021,Annual Flu Vaccinations
Calvert,,American Indian/Alaska Native Non-Hispanic/Latino,2021,Annual Flu Vaccinations
Caroline,,American Indian/Alaska Native Non-Hispanic/Latino,2021,Annual Flu Vaccinations
Carroll,,American Indian/Alaska Native Non-Hispanic/Latino,2021,Annual Flu Vaccinations
Cecil,,American Indian/Alaska Native Non-Hispanic/Latino,2021,Annual Flu Vaccinations
Charles,,American Indian/Alaska Native Non-Hispanic/Latino,2021,Annual Flu Vaccinations
Dorchester,,American Indian/Alaska Native Non-Hispanic/Latino,2021,Annual Flu Vaccinations
Frederick,,American Indian/Alaska Native Non-Hispanic/Latino,2021,Annual Flu Vaccinations
Garrett,,American Indian/Alaska Native Non-Hispanic/Latino,2021,Annual Flu Vaccinations
Harford,,American Indian/Alaska Native Non-Hispanic/Latino,2021,Annual Flu Vaccinations
Howard,,American Indian/Alaska Native Non-Hispanic/Latino,2021,Annual Flu Vaccinations
Kent,,American Indian/Alaska Native Non-Hispanic/Latino,2021,Annual Flu Vaccinations
Montgomery,,American Indian/Alaska Native Non-Hispanic/Latino,2021,Annual Flu Vaccinations
Prince George's,,American Indian/Alaska Native Non-Hispanic/Latino,2021,Annual Flu Vaccinations
Queen Anne's,,American Indian/Alaska Native Non-Hispanic/Latino,2021,Annual Flu Vaccinations
Saint Mary's,,American Indian/Alaska Native Non-Hispanic/Latino,2021,Annual Flu Vaccinations
Somerset,,American Indian/Alaska Native Non-Hispanic/Latino,2021,Annual Flu Vaccinations
Talbot,,American Indian/Alaska Native Non-Hispanic/Latino,2021,Annual Flu Vaccinations
Washington,,American Indian/Alaska Native Non-Hispanic/Latino,2021,Annual Flu Vaccinations
Wicomico,,American Indian/Alaska Native Non-Hispanic/Latino,2021,Annual Flu Vaccinations
Worcester,,American Indian/Alaska Native Non-Hispanic/Latino,2021,Annual Flu Vaccinations
Baltimore City,,American Indian/Alaska Native Non-Hispanic/Latino,2021,Annual Flu Vaccinations
State,51.7,Asian/Pacific Islander Non-Hispanic/Latino,2021,Annual Flu Vaccinations
Allegany,,Asian/Pacific Islander Non-Hispanic/Latino,2021,Annual Flu Vaccinations
Anne Arundel,,Asian/Pacific Islander Non-Hispanic/Latino,2021,Annual Flu Vaccinations
Baltimore County,,Asian/Pacific Islander Non-Hispanic/Latino,2021,Annual Flu Vaccinations
Calvert,,Asian/Pacific Islander Non-Hispanic/Latino,2021,Annual Flu Vaccinations
Caroline,,Asian/Pacific Islander Non-Hispanic/Latino,2021,Annual Flu Vaccinations
Carroll,,Asian/Pacific Islander Non-Hispanic/Latino,2021,Annual Flu Vaccinations
Cecil,,Asian/Pacific Islander Non-Hispanic/Latino,2021,Annual Flu Vaccinations
Charles,,Asian/Pacific Islander Non-Hispanic/Latino,2021,Annual Flu Vaccinations
Dorchester,,Asian/Pacific Islander Non-Hispanic/Latino,2021,Annual Flu Vaccinations
Frederick,,Asian/Pacific Islander Non-Hispanic/Latino,2021,Annual Flu Vaccinations
Garrett,,Asian/Pacific Islander Non-Hispanic/Latino,2021,Annual Flu Vaccinations
Harford,,Asian/Pacific Islander Non-Hispanic/Latino,2021,Annual Flu Vaccinations
Howard,52.2,Asian/Pacific Islander Non-Hispanic/Latino,2021,Annual Flu Vaccinations
Kent,,Asian/Pacific Islander Non-Hispanic/Latino,2021,Annual Flu Vaccinations
Montgomery,57.3,Asian/Pacific Islander Non-Hispanic/Latino,2021,Annual Flu Vaccinations
Prince George's,,Asian/Pacific Islander Non-Hispanic/Latino,2021,Annual Flu Vaccinations
Queen Anne's,,Asian/Pacific Islander Non-Hispanic/Latino,2021,Annual Flu Vaccinations
Saint Mary's,,Asian/Pacific Islander Non-Hispanic/Latino,2021,Annual Flu Vaccinations
Somerset,,Asian/Pacific Islander Non-Hispanic/Latino,2021,Annual Flu Vaccinations
Talbot,,Asian/Pacific Islander Non-Hispanic/Latino,2021,Annual Flu Vaccinations
Washington,,Asian/Pacific Islander Non-Hispanic/Latino,2021,Annual Flu Vaccinations
Wicomico,,Asian/Pacific Islander Non-Hispanic/Latino,2021,Annual Flu Vaccinations
Worcester,,Asian/Pacific Islander Non-Hispanic/Latino,2021,Annual Flu Vaccinations
Baltimore City,,Asian/Pacific Islander Non-Hispanic/Latino,2021,Annual Flu Vaccinations
State,41.5,Black or African American Non-Hispanic/Latino,2021,Annual Flu Vaccinations
Allegany,,Black or African American Non-Hispanic/Latino,2021,Annual Flu Vaccinations
Anne Arundel,39.2,Black or African American Non-Hispanic/Latino,2021,Annual Flu Vaccinations
Baltimore County,44.9,Black or African American Non-Hispanic/Latino,2021,Annual Flu Vaccinations
Calvert,,Black or African American Non-Hispanic/Latino,2021,Annual Flu Vaccinations
Caroline,,Black or African American Non-Hispanic/Latino,2021,Annual Flu Vaccinations
Carroll,,Black or African American Non-Hispanic/Latino,2021,Annual Flu Vaccinations
Cecil,,Black or African American Non-Hispanic/Latino,2021,Annual Flu Vaccinations
Charles,34.3,Black or African American Non-Hispanic/Latino,2021,Annual Flu Vaccinations
Dorchester,30.4,Black or African American Non-Hispanic/Latino,2021,Annual Flu Vaccinations
Frederick,49.7,Black or African American Non-Hispanic/Latino,2021,Annual Flu Vaccinations
Garrett,,Black or African American Non-Hispanic/Latino,2021,Annual Flu Vaccinations
Harford,53.2,Black or African American Non-Hispanic/Latino,2021,Annual Flu Vaccinations
Howard,51.1,Black or African American Non-Hispanic/Latino,2021,Annual Flu Vaccinations
Kent,,Black or African American Non-Hispanic/Latino,2021,Annual Flu Vaccinations
Montgomery,45.4,Black or African American Non-Hispanic/Latino,2021,Annual Flu Vaccinations
Prince George's,39.5,Black or African American Non-Hispanic/Latino,2021,Annual Flu Vaccinations
Queen Anne's,,Black or African American Non-Hispanic/Latino,2021,Annual Flu Vaccinations
Saint Mary's,,Black or African American Non-Hispanic/Latino,2021,Annual Flu Vaccinations
Somerset,,Black or African American Non-Hispanic/Latino,2021,Annual Flu Vaccinations
Talbot,,Black or African American Non-Hispanic/Latino,2021,Annual Flu Vaccinations
Washington,,Black or African American Non-Hispanic/Latino,2021,Annual Flu Vaccinations
Wicomico,38.9,Black or African American Non-Hispanic/Latino,2021,Annual Flu Vaccinations
Worcester,,Black or African American Non-Hispanic/Latino,2021,Annual Flu Vaccinations
Baltimore City,41.4,Black or African American Non-Hispanic/Latino,2021,Annual Flu Vaccinations
State,31.4,Hispanic,2021,Annual Flu Vaccinations
Allegany,,Hispanic,2021,Annual Flu Vaccinations
Anne Arundel,35.8,Hispanic,2021,Annual Flu Vaccinations
Baltimore County,39.2,Hispanic,2021,Annual Flu Vaccinations
Calvert,,Hispanic,2021,Annual Flu Vaccinations
Caroline,,Hispanic,2021,Annual Flu Vaccinations
Carroll,,Hispanic,2021,Annual Flu Vaccinations
Cecil,,Hispanic,2021,Annual Flu Vaccinations
Charles,,Hispanic,2021,Annual Flu Vaccinations
Dorchester,,Hispanic,2021,Annual Flu Vaccinations
Frederick,45.7,Hispanic,2021,Annual Flu Vaccinations
Garrett,,Hispanic,2021,Annual Flu Vaccinations
Harford,,Hispanic,2021,Annual Flu Vaccinations
Howard,,Hispanic,2021,Annual Flu Vaccinations
Kent,,Hispanic,2021,Annual Flu Vaccinations
Montgomery,28.5,Hispanic,2021,Annual Flu Vaccinations
Prince George's,26.1,Hispanic,2021,Annual Flu Vaccinations
Queen Anne's,,Hispanic,2021,Annual Flu Vaccinations
Saint Mary's,,Hispanic,2021,Annual Flu Vaccinations
Somerset,,Hispanic,2021,Annual Flu Vaccinations
Talbot,,Hispanic,2021,Annual Flu Vaccinations
Washington,,Hispanic,2021,Annual Flu Vaccinations
Wicomico,,Hispanic,2021,Annual Flu Vaccinations
Worcester,,Hispanic,2021,Annual Flu Vaccinations
Baltimore City,25.8,Hispanic,2021,Annual Flu Vaccinations
State,,Native Hawaiian/Other Pacific Islander Hispanic/Latino,2021,Annual Flu Vaccinations
Allegany,,Native Hawaiian/Other Pacific Islander Hispanic/Latino,2021,Annual Flu Vaccinations
Anne Arundel,,Native Hawaiian/Other Pacific Islander Hispanic/Latino,2021,Annual Flu Vaccinations
Baltimore County,,Native Hawaiian/Other Pacific Islander Hispanic/Latino,2021,Annual Flu Vaccinations
Calvert,,Native Hawaiian/Other Pacific Islander Hispanic/Latino,2021,Annual Flu Vaccinations
Caroline,,Native Hawaiian/Other Pacific Islander Hispanic/Latino,2021,Annual Flu Vaccinations
Carroll,,Native Hawaiian/Other Pacific Islander Hispanic/Latino,2021,Annual Flu Vaccinations
Cecil,,Native Hawaiian/Other Pacific Islander Hispanic/Latino,2021,Annual Flu Vaccinations
Charles,,Native Hawaiian/Other Pacific Islander Hispanic/Latino,2021,Annual Flu Vaccinations
Dorchester,,Native Hawaiian/Other Pacific Islander Hispanic/Latino,2021,Annual Flu Vaccinations
Frederick,,Native Hawaiian/Other Pacific Islander Hispanic/Latino,2021,Annual Flu Vaccinations
Garrett,,Native Hawaiian/Other Pacific Islander Hispanic/Latino,2021,Annual Flu Vaccinations
Harford,,Native Hawaiian/Other Pacific Islander Hispanic/Latino,2021,Annual Flu Vaccinations
Howard,,Native Hawaiian/Other Pacific Islander Hispanic/Latino,2021,Annual Flu Vaccinations
Kent,,Native Hawaiian/Other Pacific Islander Hispanic/Latino,2021,Annual Flu Vaccinations
Montgomery,,Native Hawaiian/Other Pacific Islander Hispanic/Latino,2021,Annual Flu Vaccinations
Prince George's,,Native Hawaiian/Other Pacific Islander Hispanic/Latino,2021,Annual Flu Vaccinations
Queen Anne's,,Native Hawaiian/Other Pacific Islander Hispanic/Latino,2021,Annual Flu Vaccinations
Saint Mary's,,Native Hawaiian/Other Pacific Islander Hispanic/Latino,2021,Annual Flu Vaccinations
Somerset,,Native Hawaiian/Other Pacific Islander Hispanic/Latino,2021,Annual Flu Vaccinations
Talbot,,Native Hawaiian/Other Pacific Islander Hispanic/Latino,2021,Annual Flu Vaccinations
Washington,,Native Hawaiian/Other Pacific Islander Hispanic/Latino,2021,Annual Flu Vaccinations
Wicomico,,Native Hawaiian/Other Pacific Islander Hispanic/Latino,2021,Annual Flu Vaccinations
Worcester,,Native Hawaiian/Other Pacific Islander Hispanic/Latino,2021,Annual Flu Vaccinations
Baltimore City,,Native Hawaiian/Other Pacific Islander Hispanic/Latino,2021,Annual Flu Vaccinations
State,57.7,White Non-Hispanic/Latino,2021,Annual Flu Vaccinations
Allegany,41.8,White Non-Hispanic/Latino,2021,Annual Flu Vaccinations
Anne Arundel,55.6,White Non-Hispanic/Latino,2021,Annual Flu Vaccinations
Baltimore County,61.3,White Non-Hispanic/Latino,2021,Annual Flu Vaccinations
Calvert,56.0,White Non-Hispanic/Latino,2021,Annual Flu Vaccinations
Caroline,37.7,White Non-Hispanic/Latino,2021,Annual Flu Vaccinations
Carroll,44.7,White Non-Hispanic/Latino,2021,Annual Flu Vaccinations
Cecil,40.8,White Non-Hispanic/Latino,2021,Annual Flu Vaccinations
Charles,57.9,White Non-Hispanic/Latino,2021,Annual Flu Vaccinations
Dorchester,51.8,White Non-Hispanic/Latino,2021,Annual Flu Vaccinations
Frederick,57.1,White Non-Hispanic/Latino,2021,Annual Flu Vaccinations
Garrett,34.5,White Non-Hispanic/Latino,2021,Annual Flu Vaccinations
Harford,57.5,White Non-Hispanic/Latino,2021,Annual Flu Vaccinations
Howard,74.7,White Non-Hispanic/Latino,2021,Annual Flu Vaccinations
Kent,61.8,White Non-Hispanic/Latino,2021,Annual Flu Vaccinations
Montgomery,68.6,White Non-Hispanic/Latino,2021,Annual Flu Vaccinations
Prince George's,61.8,White Non-Hispanic/Latino,2021,Annual Flu Vaccinations
Queen Anne's,53.5,White Non-Hispanic/Latino,2021,Annual Flu Vaccinations
Saint Mary's,44.9,White Non-Hispanic/Latino,2021,Annual Flu Vaccinations
Somerset,52.1,White Non-Hispanic/Latino,2021,Annual Flu Vaccinations
Talbot,65.0,White Non-Hispanic/Latino,2021,Annual Flu Vaccinations
Washington,45.0,White Non-Hispanic/Latino,2021,Annual Flu Vaccinations
Wicomico,48.4,White Non-Hispanic/Latino,2021,Annual Flu Vaccinations
Worcester,51.4,White Non-Hispanic/Latino,2021,Annual Flu Vaccinations
Baltimore City,62.9,White Non-Hispanic/Latino,2021,Annual Flu Vaccinations
